# FPA nu sweep results
# nu = 7e-05
# N = 64, L_phys = 32 Mpc/h
# k_Nyquist = 201.062
# s_max = 0.0108717
# max|grad(theta)|/k_Nyq = 0.77245
# Phase resolvable: YES
# psi_hat low-k power = 94.5257%
#
# D   FPA_rms   ZA_rms   FPA_ZA_corr   mass_FPA   mass_ZA
1  0.112422  0  -nan  1  1
5  0.423925  0.386531  0.855307  1  1
15  1.34013  1.54585  0.795078  1  1
25  2.1788  1.91179  0.778698  1  1
34  2.38906  1.82522  0.723177  1  1
