# step = 4000, time = 0.04, G_eff = 0
# x  rho  phase  re  im  V
0.000976562  3.97645  0.74476  1.46617  1.35159  0
0.00292969  3.97042  0.744819  1.46497  1.35066  0
0.00488281  3.95839  0.744938  1.46259  1.34878  0
0.00683594  3.94041  0.745117  1.45903  1.34598  0
0.00878906  3.91657  0.745355  1.45429  1.34224  0
0.0107422  3.88697  0.745652  1.44838  1.33759  0
0.0126953  3.85175  0.74601  1.44133  1.33203  0
0.0146484  3.81105  0.746426  1.43314  1.32558  0
0.0166016  3.76508  0.746903  1.42384  1.31823  0
0.0185547  3.71402  0.747439  1.41345  1.31002  0
0.0205078  3.65809  0.748035  1.402  1.30096  0
0.0224609  3.59755  0.748691  1.3895  1.29106  0
0.0244141  3.53265  0.749407  1.37599  1.28035  0
0.0263672  3.46365  0.750182  1.36151  1.26884  0
0.0283203  3.39086  0.751018  1.34607  1.25656  0
0.0302734  3.31457  0.751914  1.32973  1.24354  0
0.0322266  3.23508  0.752871  1.31252  1.22979  0
0.0341797  3.15272  0.753888  1.29446  1.21535  0
0.0361328  3.06779  0.754965  1.27562  1.20025  0
0.0380859  2.98063  0.756103  1.25602  1.1845  0
0.0400391  2.89156  0.757302  1.23571  1.16815  0
0.0419922  2.8009  0.758562  1.21473  1.15123  0
0.0439453  2.70897  0.759882  1.19314  1.13375  0
0.0458984  2.61609  0.761264  1.17096  1.11577  0
0.0478516  2.52256  0.762708  1.14826  1.0973  0
0.0498047  2.4287  0.764213  1.12507  1.07838  0
0.0517578  2.33478  0.765779  1.10145  1.05906  0
0.0537109  2.2411  0.767408  1.07743  1.03935  0
0.0556641  2.14792  0.769099  1.05307  1.01929  0
0.0576172  2.0555  0.770852  1.02842  0.998925  0
0.0595703  1.96407  0.772667  1.00351  0.97828  0
0.0615234  1.87387  0.774545  0.978402  0.957391  0
0.0634766  1.7851  0.776486  0.953132  0.936292  0
0.0654297  1.69797  0.77849  0.927746  0.915016  0
0.0673828  1.61264  0.780557  0.90229  0.893596  0
0.0693359  1.52928  0.782688  0.876805  0.872065  0
0.0712891  1.44804  0.784882  0.851333  0.850455  0
0.0732422  1.36904  0.787141  0.825914  0.828798  0
0.0751953  1.29239  0.789464  0.800587  0.807124  0
0.0771484  1.21818  0.791851  0.775391  0.785464  0
0.0791016  1.1465  0.794304  0.750362  0.763847  0
0.0810547  1.07741  0.796821  0.725533  0.742301  0
0.0830078  1.01095  0.799403  0.70094  0.720854  0
0.0849609  0.94715  0.802052  0.676613  0.699532  0
0.0869141  0.886038  0.804766  0.652581  0.678362  0
0.0888672  0.827615  0.807546  0.628875  0.657367  0
0.0908203  0.771876  0.810393  0.605519  0.636571  0
0.0927734  0.718803  0.813307  0.582539  0.615997  0
0.0947266  0.668368  0.816287  0.559957  0.595665  0
0.0966797  0.620533  0.819336  0.537795  0.575595  0
0.0986328  0.575251  0.822452  0.516071  0.555807  0
0.100586  0.532467  0.825636  0.494805  0.536317  0
0.102539  0.492122  0.828888  0.47401  0.517143  0
0.104492  0.454146  0.83221  0.453701  0.498299  0
0.106445  0.418469  0.8356  0.433891  0.479799  0
0.108398  0.385012  0.83906  0.41459  0.461656  0
0.110352  0.353695  0.84259  0.395807  0.443883  0
0.112305  0.324435  0.84619  0.377549  0.426488  0
0.114258  0.297147  0.849861  0.359822  0.409482  0
0.116211  0.271744  0.853602  0.34263  0.392872  0
0.118164  0.248138  0.857415  0.325976  0.376666  0
0.120117  0.22624  0.8613  0.309861  0.360869  0
0.12207  0.205964  0.865257  0.294286  0.345486  0
0.124023  0.187223  0.869286  0.279248  0.33052  0
0.125977  0.169931  0.873388  0.264745  0.315975  0
0.12793  0.154003  0.877564  0.250775  0.301853  0
0.129883  0.139358  0.881813  0.237331  0.288153  0
0.131836  0.125916  0.886137  0.224408  0.274876  0
0.133789  0.113599  0.890534  0.212  0.262021  0
