# step = 14000, time = 0.14, G_eff = 0
# x  rho  phase  re  im  V
0.000976562  1.90611  -2.50146  -1.10728  -0.824648  0
0.00292969  1.90318  -2.50128  -1.10628  -0.824213  0
0.00488281  1.89735  -2.50092  -1.10429  -0.823344  0
0.00683594  1.88862  -2.50038  -1.1013  -0.822041  0
0.00878906  1.87703  -2.49966  -1.09733  -0.820305  0
0.0107422  1.86264  -2.49876  -1.09238  -0.818136  0
0.0126953  1.84549  -2.49768  -1.08646  -0.815536  0
0.0146484  1.82566  -2.49642  -1.07958  -0.812507  0
0.0166016  1.80322  -2.49497  -1.07176  -0.80905  0
0.0185547  1.77827  -2.49334  -1.063  -0.805167  0
0.0205078  1.75089  -2.49153  -1.05333  -0.80086  0
0.0224609  1.72119  -2.48952  -1.04277  -0.796132  0
0.0244141  1.68929  -2.48732  -1.03133  -0.790986  0
0.0263672  1.65531  -2.48494  -1.01903  -0.785426  0
0.0283203  1.61937  -2.48235  -1.00589  -0.779454  0
0.0302734  1.5816  -2.47957  -0.991944  -0.773076  0
0.0322266  1.54215  -2.47658  -0.977209  -0.766295  0
0.0341797  1.50115  -2.47339  -0.961711  -0.759117  0
0.0361328  1.45875  -2.46998  -0.945477  -0.751547  0
0.0380859  1.4151  -2.46635  -0.928534  -0.743591  0
0.0400391  1.37035  -2.4625  -0.910908  -0.735255  0
0.0419922  1.32465  -2.45841  -0.892627  -0.726546  0
0.0439453  1.27816  -2.45408  -0.873721  -0.717472  0
0.0458984  1.23101  -2.44949  -0.854219  -0.708041  0
0.0478516  1.18337  -2.44464  -0.834148  -0.69826  0
0.0498047  1.13538  -2.43951  -0.813539  -0.688141  0
0.0517578  1.0872  -2.43408  -0.792421  -0.677692  0
0.0537109  1.03895  -2.42833  -0.770822  -0.666923  0
0.0556641  0.990793  -2.42225  -0.748771  -0.655847  0
0.0576172  0.942854  -2.41582  -0.726298  -0.644474  0
0.0595703  0.895269  -2.40899  -0.703429  -0.632816  0
0.0615234  0.848164  -2.40174  -0.680192  -0.620888  0
0.0634766  0.801662  -2.39404  -0.656615  -0.608702  0
0.0654297  0.755882  -2.38584  -0.632724  -0.596274  0
0.0673828  0.710933  -2.3771  -0.608543  -0.583617  0
0.0693359  0.666923  -2.36776  -0.584098  -0.570747  0
0.0712891  0.623951  -2.35774  -0.559413  -0.557681  0
0.0732422  0.58211  -2.347  -0.534509  -0.544435  0
0.0751953  0.541488  -2.33542  -0.50941  -0.531028  0
0.0771484  0.502167  -2.32292  -0.484134  -0.517476  0
0.0791016  0.46422  -2.30938  -0.458702  -0.503798  0
0.0810547  0.427718  -2.29466  -0.433133  -0.490014  0
0.0830078  0.392721  -2.2786  -0.407443  -0.476142  0
0.0849609  0.359288  -2.26102  -0.381649  -0.462204  0
0.0869141  0.327468  -2.2417  -0.355765  -0.448218  0
0.0888672  0.297307  -2.22039  -0.329805  -0.434207  0
0.0908203  0.268843  -2.19677  -0.303781  -0.42019  0
0.0927734  0.242111  -2.17049  -0.277705  -0.40619  0
0.0947266  0.217139  -2.14112  -0.251588  -0.392228  0
0.0966797  0.193953  -2.10818  -0.225437  -0.378326  0
0.0986328  0.17257  -2.07108  -0.199262  -0.364505  0
0.100586  0.153005  -2.02913  -0.17307  -0.350788  0
0.102539  0.135271  -1.98157  -0.146865  -0.337197  0
0.104492  0.119373  -1.92753  -0.120654  -0.323753  0
0.106445  0.105316  -1.86608  -0.0944406  -0.310478  0
0.108398  0.0930988  -1.79631  -0.0682284  -0.297395  0
0.110352  0.0827194  -1.71742  -0.0420201  -0.284524  0
0.112305  0.0741722  -1.62891  -0.0158179  -0.271886  0
0.114258  0.0674492  -1.53083  0.0103767  -0.259502  0
0.116211  0.0625403  -1.42407  0.0365628  -0.247393  0
0.118164  0.0594336  -1.31052  0.0627397  -0.235579  0
0.120117  0.0581151  -1.19308  0.088907  -0.224077  0
0.12207  0.0585697  -1.07532  0.115065  -0.212908  0
0.124023  0.0607809  -0.960898  0.141213  -0.202089  0
